erl_module,filepath,n_lines,description,complexity,depends_on
emqx_cm,emqx-src/apps/emqx/src/emqx_cm.erl,892,"Module for emqx cm",H,"emqx_bpapi;emqx_channel;emqx_cm_clean_down;emqx_cm_connected_client_count_dec;emqx_cm_connected_client_count_inc;emqx_cm_locker;emqx_cm_pool;emqx_cm_proto_v;emqx_cm_registry;emqx_cm_unexpected_call;emqx_cm_unexpected_cast;emqx_cm_unexpected_info;emqx_connection;emqx_external_trace;emqx_hooks;emqx_maybe;emqx_mqtt;emqx_persistent_session_ds;emqx_pool;emqx_session;emqx_session_mem;emqx_stats;emqx_types;emqx_utils_ets;emqx_utils_stream;emqx_ws_connection"
emqx_gc,emqx-src/apps/emqx/src/emqx_gc.erl,102,"Module for emqx gc",M,""
emqx_mqtt_props,emqx-src/apps/emqx/src/emqx_mqtt_props.erl,203,"Module for emqx mqtt props",M,"emqx_mqtt;emqx_types"
emqx_cpu_sup_worker,emqx-src/apps/emqx/src/emqx_cpu_sup_worker.erl,80,"Module for emqx cpu sup worker",L,""
emqx_config_backup_manager,emqx-src/apps/emqx/src/emqx_config_backup_manager.erl,203,"Module for emqx config backup manager",M,""
emqx_wdgraph,emqx-src/apps/emqx/src/emqx_wdgraph.erl,196,"Module for emqx wdgraph",M,""
emqx_schema_secret,emqx-src/apps/emqx/src/emqx_schema_secret.erl,73,"Module for emqx schema secret",L,"emqx_secret"
emqx_schema_hooks,emqx-src/apps/emqx/src/emqx_schema_hooks.erl,175,"Module for emqx schema hooks",M,"emqx_utils"
emqx_sys,emqx-src/apps/emqx/src/emqx_sys.erl,403,"Module for emqx sys",M,"emqx_app;emqx_broker;emqx_config_handler;emqx_hooks;emqx_message;emqx_metrics;emqx_mqtt;emqx_stats;emqx_topic;emqx_utils;emqx_utils_json;emqx_utils_maps"
emqx_rpc,emqx-src/apps/emqx/src/emqx_rpc.erl,212,"Module for emqx rpc",M,"emqx_bpapi_trans;emqx_down"
emqx_logger_textfmt,emqx-src/apps/emqx/src/emqx_logger_textfmt.erl,231,"Module for emqx logger textfmt",M,"emqx_conn;emqx_packet;emqx_trace;emqx_trace_format_func_data;emqx_trace_formatter;emqx_utils"
emqx_logger_jsonfmt,emqx-src/apps/emqx/src/emqx_logger_jsonfmt.erl,318,"Module for emqx logger jsonfmt",M,"emqx_logger_jsonfmt_format_error;emqx_logger_textfmt;emqx_trace_json_formatter;emqx_utils;emqx_utils_json;emqx_utils_log"
emqx_cluster,emqx-src/apps/emqx/src/emqx_cluster.erl,90,"Module for emqx cluster",L,"emqx_cluster_proto_v;emqx_license"
emqx_message,emqx-src/apps/emqx/src/emqx_message.erl,426,"Module for emqx message",M,"emqx_config;emqx_guid;emqx_mqtt;emqx_types"
emqx_config,emqx-src/apps/emqx/src/emqx_config.erl,1400,"Module for emqx config",H,"emqx_conf;emqx_config_backup_manager;emqx_config_handler;emqx_config_logger;emqx_config_save_configs_namespaced_transaction;emqx_config_zones;emqx_corrupt_namespace_config_checker;emqx_hocon;emqx_mt;emqx_override;emqx_persistent_message;emqx_schema;emqx_sys_mon;emqx_utils_maps;emqx_zone_schema"
emqx_tls_lib,emqx-src/apps/emqx/src/emqx_tls_lib.erl,868,"Module for emqx tls lib",H,"emqx_config;emqx_listeners;emqx_maybe;emqx_schema;emqx_secret;emqx_ssl_crl_cache;emqx_tls_lib_auth_ext;emqx_tls_psk;emqx_utils;emqx_utils_conv;emqx_utils_maps"
emqx_frame,emqx-src/apps/emqx/src/emqx_frame.erl,1306,"Module for emqx frame",H,"emqx_mqtt;emqx_packet;emqx_types"
emqx_bpapi_replicant_checker,emqx-src/apps/emqx/src/emqx_bpapi_replicant_checker.erl,87,"Module for emqx bpapi replicant checker",L,"emqx_bpapi"
emqx_external_broker,emqx-src/apps/emqx/src/emqx_external_broker.erl,136,"Module for emqx external broker",M,"emqx_external_traces;emqx_persistent_session_ds;emqx_types"
emqx_vm_mon,emqx-src/apps/emqx/src/emqx_vm_mon.erl,101,"Module for emqx vm mon",M,"emqx_alarm;emqx_utils"
emqx_shared_sub,emqx-src/apps/emqx/src/emqx_shared_sub.erl,583,"Module for emqx shared sub",H,"emqx_external_broker;emqx_message;emqx_mqtt;emqx_pmon;emqx_router;emqx_router_helper;emqx_schema;emqx_shared_sub_proto_v;emqx_stats;emqx_types;emqx_utils_ets"
emqx_tls_lib_sup,emqx-src/apps/emqx/src/emqx_tls_lib_sup.erl,37,"Module for emqx tls lib sup",L,"emqx_tls_certfile_gc"
emqx_broker,emqx-src/apps/emqx/src/emqx_broker.erl,857,"Module for emqx broker",H,"emqx_broker__async_fanout_shard_dispatch;emqx_broker_helper;emqx_broker_proto_v;emqx_config;emqx_exclusive_subscription;emqx_external_broker;emqx_external_trace;emqx_hooks;emqx_instr;emqx_message;emqx_metrics;emqx_mqtt;emqx_otel_trace;emqx_persistent_message;emqx_router;emqx_router_helper;emqx_router_syncer;emqx_shared_sub;emqx_trace;emqx_types;emqx_utils;emqx_utils_ets;emqx_utils_json"
emqx_sys_mon,emqx-src/apps/emqx/src/emqx_sys_mon.erl,263,"Module for emqx sys mon",M,"emqx_alarm;emqx_broker;emqx_config_handler;emqx_logger;emqx_message;emqx_os_mon;emqx_topic;emqx_utils;emqx_vm"
emqx_olp,emqx-src/apps/emqx/src/emqx_olp.erl,126,"Module for emqx olp",M,"emqx_config;emqx_metrics"
